number_of_rooms,number_of_bathrooms,sqft,location,days_on_market,initial_price,neighborhood,rental_price
1,1,618,poor,16,1954,alcatraz_ave,1954.0
2,1,884,great,9,3855,berkeley_hills,3855.0
3,2,1125,good,8,4895,thowsand_oaks,4895.0
1,1,320,good,1,1789,thowsand_oaks,1789.0
2,1,853,good,12,3336,thowsand_oaks,3336.0
1,1,399,great,12,2236,berkeley_hills,2236.0
3,2,980,great,8,5239,berkeley_hills,5239.0
0,1,400,poor,24,1527,alcatraz_ave,1514.784
2,1,836,great,5,3927,berkeley_hills,3927.0
3,2,1175,poor,57,4465,alcatraz_ave,4134.59
3,2,1094,good,6,4883,thowsand_oaks,4883.0
2,1,925,good,13,3355,thowsand_oaks,3355.0
2,1,736,poor,60,2708,alcatraz_ave,2491.36
2,1,729,good,9,3280,thowsand_oaks,3280.0
1,1,540,poor,60,1463,alcatraz_ave,1345.96
3,2,858,poor,31,4366,alcatraz_ave,4269.948
1,1,570,great,13,2421,berkeley_hills,2421.0
2,1,664,great,0,3749,berkeley_hills,3749.0
0,1,378,good,13,1653,thowsand_oaks,1653.0
1,1,670,good,3,2149,thowsand_oaks,2149.0
0,1,474,great,4,2382,berkeley_hills,2382.0
3,2,1157,great,10,5453,berkeley_hills,5453.0
1,1,417,great,11,2276,berkeley_hills,2276.0
0,1,197,good,7,1576,thowsand_oaks,1576.0
1,1,668,good,0,2191,thowsand_oaks,2191.0
0,1,123,good,1,1485,thowsand_oaks,1485.0
3,2,875,poor,58,4096,alcatraz_ave,3784.704
3,2,1131,good,6,4957,thowsand_oaks,4957.0
1,1,339,poor,22,1660,alcatraz_ave,1653.36
2,1,921,good,5,3473,thowsand_oaks,3473.0
3,2,894,poor,57,4200,alcatraz_ave,3889.2
1,1,594,poor,57,1487,alcatraz_ave,1376.962
2,1,935,great,14,3884,berkeley_hills,3884.0
0,1,523,poor,38,1561,alcatraz_ave,1504.804
0,1,535,poor,45,1451,alcatraz_ave,1378.45
1,1,585,poor,56,1509,alcatraz_ave,1400.352
1,1,385,poor,28,1639,alcatraz_ave,1612.776
2,1,578,poor,16,3065,alcatraz_ave,3065.0
1,1,678,good,14,2081,thowsand_oaks,2081.0
0,1,493,poor,24,1636,alcatraz_ave,1622.912
2,1,874,good,8,3359,thowsand_oaks,3359.0
1,1,328,great,0,2285,berkeley_hills,2285.0
0,1,549,poor,59,1397,alcatraz_ave,1288.034
1,1,519,good,1,2014,thowsand_oaks,2014.0
2,1,554,good,13,2996,thowsand_oaks,2996.0
0,1,283,great,10,2072,berkeley_hills,2072.0
1,1,557,good,14,1960,thowsand_oaks,1960.0
0,1,148,great,6,2028,berkeley_hills,2028.0
1,1,560,good,9,1992,thowsand_oaks,1992.0
3,2,824,poor,49,4217,alcatraz_ave,3972.414
0,1,177,good,7,1471,thowsand_oaks,1471.0
2,1,776,great,2,3881,berkeley_hills,3881.0
1,1,332,poor,15,1703,alcatraz_ave,1703.0
1,1,722,great,13,2633,berkeley_hills,2633.0
2,1,641,great,3,3751,berkeley_hills,3751.0
3,2,829,poor,16,4508,alcatraz_ave,4508.0
2,1,647,poor,19,3028,alcatraz_ave,3028.0
2,1,619,good,5,3208,thowsand_oaks,3208.0
0,1,188,good,7,1477,thowsand_oaks,1477.0
3,2,1146,good,14,4836,thowsand_oaks,4836.0
1,1,338,good,10,1783,thowsand_oaks,1783.0
3,2,1232,good,0,5124,thowsand_oaks,5124.0
3,2,1054,great,8,5335,berkeley_hills,5335.0
2,1,916,great,3,3974,berkeley_hills,3974.0
0,1,169,poor,24,1361,alcatraz_ave,1350.112
1,1,431,good,13,1775,thowsand_oaks,1775.0
3,2,840,great,9,5130,berkeley_hills,5130.0
3,2,926,good,0,4820,thowsand_oaks,4820.0
3,2,1245,great,8,5506,berkeley_hills,5506.0
2,1,694,poor,41,2874,alcatraz_ave,2753.292
3,2,881,great,0,5199,berkeley_hills,5199.0
3,2,1199,poor,62,4418,alcatraz_ave,4046.888
2,1,913,great,12,3901,berkeley_hills,3901.0
0,1,409,poor,60,1190,alcatraz_ave,1094.8
1,1,627,great,13,2505,berkeley_hills,2505.0
1,1,510,great,10,2438,berkeley_hills,2438.0
3,2,1218,poor,20,4906,alcatraz_ave,4906.0
2,1,778,poor,34,3057,alcatraz_ave,2971.404
3,2,891,good,12,4644,thowsand_oaks,4644.0
2,1,587,poor,27,2928,alcatraz_ave,2887.008
3,2,1020,good,4,4825,thowsand_oaks,4825.0
3,2,1226,good,11,4936,thowsand_oaks,4936.0
2,1,696,good,10,3182,thowsand_oaks,3182.0
1,1,486,great,4,2412,berkeley_hills,2412.0
1,1,426,good,12,1810,thowsand_oaks,1810.0
2,1,845,poor,32,3121,alcatraz_ave,3046.096
1,1,689,good,5,2089,thowsand_oaks,2089.0
2,1,918,great,10,3929,berkeley_hills,3929.0
3,2,1104,poor,43,4573,alcatraz_ave,4362.642
3,2,1182,good,11,4944,thowsand_oaks,4944.0
1,1,461,good,2,1965,thowsand_oaks,1965.0
0,1,461,good,1,1819,thowsand_oaks,1819.0
3,2,1206,good,2,5015,thowsand_oaks,5015.0
0,1,237,poor,21,1409,alcatraz_ave,1406.182
1,1,451,poor,41,1520,alcatraz_ave,1456.16
2,1,903,poor,26,3193,alcatraz_ave,3154.684
2,1,560,good,5,3089,thowsand_oaks,3089.0
1,1,406,poor,55,1397,alcatraz_ave,1299.21
0,1,547,poor,29,1641,alcatraz_ave,1611.462
1,1,533,good,1,2000,thowsand_oaks,2000.0
1,1,588,poor,50,1623,alcatraz_ave,1525.62
1,1,471,poor,53,1450,northwest,1354.3
3,2,1066,great,8,5301,east_elmwood,5301.0
1,1,503,poor,17,1860,northwest,1860.0
3,2,1024,good,14,4704,west_welmwood,4704.0
0,1,323,poor,59,1127,northwest,1039.094
1,1,687,poor,61,1616,northwest,1483.488
3,2,995,good,2,4861,west_welmwood,4861.0
0,1,357,good,3,1701,west_welmwood,1701.0
2,1,723,poor,15,3170,northwest,3170.0
3,2,841,good,11,4609,west_welmwood,4609.0
0,1,276,great,4,2104,east_elmwood,2104.0
3,2,1077,poor,62,4344,northwest,3979.104
0,1,304,good,0,1683,west_welmwood,1683.0
3,2,990,good,6,4820,west_welmwood,4820.0
3,2,863,good,12,4600,west_welmwood,4600.0
0,1,119,poor,25,1264,northwest,1251.36
0,1,234,good,12,1492,west_welmwood,1492.0
0,1,157,good,1,1536,west_welmwood,1536.0
0,1,524,great,10,2358,east_elmwood,2358.0
0,1,502,poor,47,1436,northwest,1358.456
1,1,449,poor,51,1472,northwest,1380.736
2,1,592,good,12,3074,west_welmwood,3074.0
1,1,387,good,11,1813,west_welmwood,1813.0
2,1,873,good,3,3435,west_welmwood,3435.0
3,2,827,good,0,4632,west_welmwood,4632.0
1,1,593,poor,63,1505,northwest,1375.57
1,1,479,good,2,1995,west_welmwood,1995.0
2,1,788,good,0,3396,west_welmwood,3396.0
1,1,737,good,9,2146,west_welmwood,2146.0
1,1,467,good,2,1979,west_welmwood,1979.0
0,1,424,good,1,1813,west_welmwood,1813.0
1,1,471,great,5,2402,east_elmwood,2402.0
1,1,547,good,5,2040,west_welmwood,2040.0
1,1,328,poor,35,1512,northwest,1466.64
0,1,154,good,9,1432,west_welmwood,1432.0
2,1,701,poor,31,3003,northwest,2936.934
3,2,1169,poor,31,4758,northwest,4653.324
3,2,1024,good,1,4856,west_welmwood,4856.0
1,1,633,great,12,2550,east_elmwood,2550.0
0,1,501,good,10,1825,west_welmwood,1825.0
2,1,771,good,0,3340,west_welmwood,3340.0
1,1,730,poor,59,1641,northwest,1513.002
0,1,545,good,0,1980,west_welmwood,1980.0
2,1,667,great,9,3647,east_elmwood,3647.0
0,1,513,good,10,1779,west_welmwood,1779.0
3,2,1152,good,12,4870,west_welmwood,4870.0
0,1,333,good,2,1748,west_welmwood,1748.0
2,1,919,good,2,3450,west_welmwood,3450.0
1,1,372,poor,64,1261,northwest,1150.032
1,1,671,poor,35,1823,northwest,1768.31
0,1,319,good,0,1680,west_welmwood,1680.0
3,2,867,poor,63,4060,northwest,3710.84
0,1,320,good,12,1594,west_welmwood,1594.0
1,1,594,great,8,2484,east_elmwood,2484.0
2,1,882,good,14,3389,west_welmwood,3389.0
3,2,1062,poor,56,4374,northwest,4059.072
3,2,823,poor,59,4046,northwest,3730.412
2,1,874,good,6,3450,west_welmwood,3450.0
2,1,687,poor,30,2947,northwest,2888.06
2,1,621,good,3,3150,west_welmwood,3150.0
2,1,705,great,2,3812,east_elmwood,3812.0
1,1,658,poor,41,1741,northwest,1667.878
1,1,314,poor,58,1211,northwest,1118.964
2,1,831,good,2,3439,west_welmwood,3439.0
0,1,290,poor,59,1068,northwest,984.696
0,1,398,poor,31,1499,northwest,1466.022
2,1,729,good,12,3195,west_welmwood,3195.0
0,1,238,poor,17,1471,northwest,1471.0
0,1,538,good,10,1863,west_welmwood,1863.0
2,1,631,poor,23,3019,northwest,3000.886
0,1,542,poor,45,1474,northwest,1400.3
3,2,883,poor,34,4365,northwest,4242.78
2,1,703,poor,46,2811,northwest,2664.828
1,1,441,poor,55,1396,northwest,1298.28
3,2,1231,poor,62,4425,northwest,4053.3
1,1,692,great,8,2590,east_elmwood,2590.0
0,1,540,good,7,1834,west_welmwood,1834.0
1,1,326,good,3,1773,west_welmwood,1773.0
2,1,839,great,9,3816,east_elmwood,3816.0
3,2,1173,great,4,5445,east_elmwood,5445.0
1,1,569,poor,17,1937,northwest,1937.0
2,1,622,great,10,3635,east_elmwood,3635.0
2,1,716,poor,17,3183,northwest,3183.0
1,1,548,good,12,1973,west_welmwood,1973.0
2,1,591,poor,28,2954,northwest,2906.736
3,2,868,poor,22,4453,northwest,4435.188
2,1,853,poor,27,3213,northwest,3168.018
1,1,733,great,2,2760,east_elmwood,2760.0
2,1,710,good,14,3196,west_welmwood,3196.0
0,1,151,good,0,1535,west_welmwood,1535.0
3,2,1013,poor,25,4624,northwest,4577.76
0,1,289,poor,54,1157,northwest,1078.324
0,1,440,good,12,1746,west_welmwood,1746.0
2,1,714,good,11,3202,west_welmwood,3202.0
3,2,931,good,1,4762,west_welmwood,4762.0
3,2,938,poor,19,4634,northwest,4634.0
3,2,1191,great,0,5558,east_elmwood,5558.0
1,1,495,good,6,1945,west_welmwood,1945.0
3,2,1077,poor,20,4722,northwest,4722.0
2,1,782,great,11,3744,east_elmwood,3744.0
3,2,1099,good,7,4893,west_welmwood,4893.0
0,1,398,great,13,2128,east_elmwood,2128.0
1,1,385,good,13,1775,west_welmwood,1775.0
0,1,213,good,13,1526,west_welmwood,1526.0
0,1,180,poor,37,1199,northwest,1158.234
3,2,979,poor,34,4456,northwest,4331.232
2,1,757,good,5,3312,west_welmwood,3312.0
1,1,673,great,9,2619,east_elmwood,2619.0
1,1,438,good,9,1798,west_welmwood,1798.0
0,1,110,great,2,2037,east_elmwood,2037.0
1,1,577,good,5,2017,west_welmwood,2017.0
2,1,905,good,4,3459,west_welmwood,3459.0
3,2,856,good,4,4712,west_welmwood,4712.0
3,2,1082,great,12,5273,east_elmwood,5273.0
0,1,174,good,14,1429,west_welmwood,1429.0
1,1,435,poor,60,1303,northwest,1198.76
2,1,765,poor,38,2952,northwest,2845.728
1,1,628,good,10,2040,west_welmwood,2040.0
1,1,735,great,10,2621,east_elmwood,2621.0
1,1,568,good,14,1947,west_welmwood,1947.0
1,1,625,good,10,2008,west_welmwood,2008.0
2,1,846,good,2,3470,west_welmwood,3470.0
2,1,518,good,3,3094,west_welmwood,3094.0
3,2,1185,poor,53,4487,northwest,4190.858
0,1,531,good,7,1906,west_welmwood,1906.0
3,2,1245,good,3,5057,west_welmwood,5057.0
0,1,384,poor,36,1416,northwest,1370.688
3,2,940,good,9,4741,west_welmwood,4741.0
1,1,740,good,1,2265,west_welmwood,2265.0
1,1,307,great,0,2348,east_elmwood,2348.0
2,1,548,good,10,3086,west_welmwood,3086.0
0,1,461,great,1,2390,east_elmwood,2390.0
3,2,1145,good,4,4947,west_welmwood,4947.0
0,1,522,good,7,1827,west_welmwood,1827.0
0,1,324,good,14,1570,west_welmwood,1570.0
2,1,528,poor,34,2823,northwest,2743.956
0,1,498,poor,63,1259,northwest,1150.726
1,1,725,good,8,2100,west_welmwood,2100.0
2,1,612,good,7,3183,west_welmwood,3183.0
1,1,496,poor,59,1430,northwest,1318.46
2,1,769,poor,49,2845,northwest,2679.99
3,2,1034,good,6,4811,west_welmwood,4811.0
2,1,646,poor,57,2718,northwest,2516.868
3,2,901,good,12,4635,west_welmwood,4635.0
3,2,1167,good,11,4895,west_welmwood,4895.0
0,1,405,poor,45,1319,northwest,1253.05
3,2,1242,good,14,4936,west_welmwood,4936.0
1,1,599,good,3,2084,west_welmwood,2084.0
1,1,587,good,3,2101,west_welmwood,2101.0
2,1,810,good,3,3398,west_welmwood,3398.0
1,1,709,good,9,2161,west_welmwood,2161.0
0,1,497,good,0,1906,west_welmwood,1906.0
1,1,305,good,0,1794,west_welmwood,1794.0
2,1,667,good,6,3220,west_welmwood,3220.0
3,2,895,good,11,4663,west_welmwood,4663.0
3,2,1161,good,9,4906,west_welmwood,4906.0
0,1,387,poor,29,1501,northwest,1473.982
1,1,503,good,0,2014,west_welmwood,2014.0
2,1,856,great,4,3881,east_elmwood,3881.0
1,1,444,great,11,2327,east_elmwood,2327.0
0,1,207,good,3,1563,west_welmwood,1563.0
1,1,676,good,1,2204,west_welmwood,2204.0
3,2,1059,poor,25,4689,northwest,4642.11
1,1,573,great,9,2436,east_elmwood,2436.0
0,1,285,good,13,1595,west_welmwood,1595.0
0,1,490,good,1,1864,west_welmwood,1864.0
3,2,824,good,3,4631,west_welmwood,4631.0
0,1,234,good,7,1562,west_welmwood,1562.0
2,1,920,poor,15,3354,northwest,3354.0
3,2,966,good,14,4689,west_welmwood,4689.0
0,1,423,good,12,1725,west_welmwood,1725.0
2,1,932,great,2,3980,east_elmwood,3980.0
0,1,419,poor,28,1506,northwest,1481.904
2,1,752,good,5,3342,west_welmwood,3342.0
2,1,671,poor,51,2775,northwest,2602.95
2,1,628,poor,51,2671,northwest,2505.398
3,2,1058,good,12,4808,west_welmwood,4808.0
2,1,668,poor,62,2605,northwest,2386.18
0,1,131,poor,37,1125,northwest,1086.75
0,1,269,good,9,1565,west_welmwood,1565.0
1,1,663,good,9,2083,west_welmwood,2083.0
3,2,1219,poor,34,4769,northwest,4635.468
1,1,536,poor,41,1627,northwest,1558.666
0,1,215,good,11,1532,west_welmwood,1532.0
1,1,558,poor,51,1500,northwest,1407.0
3,2,1242,great,1,5577,east_elmwood,5577.0
1,1,672,poor,30,1845,northwest,1808.1
1,1,497,good,4,1940,west_welmwood,1940.0
1,1,598,great,2,2549,east_elmwood,2549.0
3,2,1134,good,0,4959,west_welmwood,4959.0
3,2,1174,great,11,5380,east_elmwood,5380.0
1,1,476,poor,30,1634,northwest,1601.32
0,1,228,great,1,2129,east_elmwood,2129.0
0,1,389,great,12,2136,east_elmwood,2136.0
0,1,489,great,7,2285,east_elmwood,2285.0
1,1,352,poor,48,1357,northwest,1281.008
0,1,544,good,7,1923,west_welmwood,1923.0
1,1,604,poor,29,1776,northwest,1744.032
1,1,528,good,5,2023,west_welmwood,2023.0
3,2,1036,great,12,5305,east_elmwood,5305.0
3,2,1060,poor,42,4462,northwest,4265.672
2,1,872,good,2,3433,west_welmwood,3433.0
1,1,477,good,4,1894,west_welmwood,1894.0
2,1,933,poor,16,3398,northwest,3398.0
1,1,511,good,10,1941,west_welmwood,1941.0
0,1,228,poor,19,1443,northwest,1443.0
2,1,819,poor,55,2869,northwest,2668.17
1,1,556,great,10,2447,east_elmwood,2447.0
0,1,318,poor,33,1376,northwest,1340.224
3,2,814,good,3,4680,west_welmwood,4680.0
3,2,1215,poor,48,4631,northwest,4371.664
0,1,190,poor,44,1195,northwest,1137.64
2,1,594,good,1,3217,west_welmwood,3217.0
0,1,310,poor,39,1358,northwest,1306.396
2,1,629,great,7,3690,east_elmwood,3690.0
3,2,957,good,7,4687,west_welmwood,4687.0
3,2,1056,great,10,5328,east_elmwood,5328.0
2,1,741,good,0,3370,west_welmwood,3370.0
1,1,447,good,10,1889,west_welmwood,1889.0
2,1,772,great,0,3839,east_elmwood,3839.0
2,1,669,poor,32,2932,northwest,2861.632
1,1,485,poor,39,1613,northwest,1551.706
1,1,462,great,5,2387,east_elmwood,2387.0
1,1,430,great,6,2332,east_elmwood,2332.0
3,2,1183,good,7,4920,west_welmwood,4920.0
3,2,875,poor,27,4471,northwest,4408.406
1,1,496,good,14,1839,west_welmwood,1839.0
3,2,993,great,6,5290,east_elmwood,5290.0
0,1,446,poor,38,1448,northwest,1395.872
0,1,431,good,1,1855,west_welmwood,1855.0
0,1,300,great,1,2228,east_elmwood,2228.0
0,1,304,good,5,1610,west_welmwood,1610.0
2,1,748,poor,38,3003,northwest,2894.892
0,1,182,poor,49,1116,northwest,1051.272
0,1,198,good,1,1577,west_welmwood,1577.0
3,2,1129,poor,52,4475,northwest,4188.6
3,2,1005,good,2,4807,west_welmwood,4807.0
2,1,509,great,14,3502,east_elmwood,3502.0
2,1,731,poor,29,3058,northwest,3002.956
2,1,809,poor,45,2996,northwest,2846.2
0,1,232,poor,44,1239,northwest,1179.528
0,1,247,poor,27,1422,northwest,1402.092
1,1,682,great,4,2689,east_elmwood,2689.0
1,1,493,poor,34,1617,northwest,1571.724
1,1,536,good,2,2043,west_welmwood,2043.0
0,1,513,poor,59,1343,northwest,1238.246
3,2,1218,good,1,5076,west_welmwood,5076.0
3,2,1072,good,4,4875,west_welmwood,4875.0
2,1,778,good,0,3362,west_welmwood,3362.0
2,1,773,good,12,3290,west_welmwood,3290.0
0,1,372,great,1,2268,east_elmwood,2268.0
3,2,1146,poor,31,4694,northwest,4590.732
3,2,904,good,7,4670,west_welmwood,4670.0
0,1,263,good,6,1621,west_welmwood,1621.0
2,1,784,good,5,3295,west_welmwood,3295.0
1,1,669,great,13,2555,east_elmwood,2555.0
0,1,488,good,4,1891,west_welmwood,1891.0
0,1,231,good,11,1510,west_welmwood,1510.0
2,1,849,good,2,3399,west_welmwood,3399.0
2,1,621,good,3,3227,west_welmwood,3227.0
1,1,483,good,8,1884,west_welmwood,1884.0
0,1,243,good,5,1561,west_welmwood,1561.0
2,1,840,good,10,3349,west_welmwood,3349.0
3,2,1141,good,11,4852,west_welmwood,4852.0
0,1,311,poor,40,1295,northwest,1243.2
3,2,832,great,3,5146,east_elmwood,5146.0
2,1,546,good,9,3092,west_welmwood,3092.0
0,1,483,good,10,1801,west_welmwood,1801.0
1,1,390,poor,63,1301,northwest,1189.114
1,1,473,poor,37,1636,northwest,1580.376
3,2,1080,good,3,4884,west_welmwood,4884.0
2,1,815,poor,37,3029,northwest,2926.014
0,1,289,poor,22,1430,northwest,1424.28
1,1,372,good,11,1797,west_welmwood,1797.0
2,1,949,great,10,3939,east_elmwood,3939.0
2,1,754,poor,31,3015,northwest,2948.67
0,1,105,poor,53,926,northwest,864.884
2,1,848,good,11,3306,west_welmwood,3306.0
1,1,737,poor,35,1901,northwest,1843.97
2,1,856,poor,26,3175,northwest,3136.9
3,2,953,poor,46,4294,northwest,4070.712
0,1,449,poor,45,1435,northwest,1363.25
3,2,1134,good,7,4922,west_welmwood,4922.0
2,1,601,good,0,3153,west_welmwood,3153.0
2,1,743,good,10,3230,west_welmwood,3230.0
1,1,436,good,9,1850,west_welmwood,1850.0
0,1,280,good,1,1701,west_welmwood,1701.0
2,1,923,good,3,3522,west_welmwood,3522.0
0,1,364,great,5,2237,east_elmwood,2237.0
0,1,246,good,8,1608,west_welmwood,1608.0
0,1,202,poor,23,1399,northwest,1390.606
0,1,489,good,12,1738,west_welmwood,1738.0
1,1,517,good,8,1963,west_welmwood,1963.0
0,1,300,good,6,1661,west_welmwood,1661.0
2,1,587,good,2,3132,west_welmwood,3132.0
1,1,350,good,1,1852,west_welmwood,1852.0
2,1,776,good,1,3354,west_welmwood,3354.0
0,1,142,good,12,1418,west_welmwood,1418.0
2,1,802,great,1,3885,east_elmwood,3885.0
0,1,454,poor,17,1662,northwest,1662.0
1,1,524,poor,64,1380,northwest,1258.56
2,1,553,great,14,3485,east_elmwood,3485.0
3,2,1139,great,13,5397,east_elmwood,5397.0
2,1,820,good,8,3324,west_welmwood,3324.0
0,1,505,good,14,1738,west_welmwood,1738.0
0,1,340,poor,57,1190,northwest,1101.94
3,2,1189,good,8,4956,west_welmwood,4956.0
3,2,1165,great,0,5525,east_elmwood,5525.0
0,1,400,poor,38,1407,northwest,1356.348
3,2,1214,great,14,5405,east_elmwood,5405.0
1,1,493,good,13,1846,west_welmwood,1846.0
0,1,344,poor,64,1078,northwest,983.136
0,1,367,poor,57,1230,northwest,1138.98
2,1,864,great,5,3935,east_elmwood,3935.0
1,1,384,poor,36,1499,northwest,1451.032
2,1,948,good,3,3549,west_welmwood,3549.0
0,1,390,poor,32,1479,northwest,1443.504
0,1,435,good,12,1683,west_welmwood,1683.0
1,1,725,great,10,2672,east_elmwood,2672.0
0,1,456,poor,39,1418,northwest,1364.116
2,1,788,good,5,3295,west_welmwood,3295.0
2,1,810,good,10,3331,west_welmwood,3331.0
0,1,456,good,13,1721,west_welmwood,1721.0
1,1,349,great,0,2333,east_elmwood,2333.0
3,2,1065,good,3,4848,west_welmwood,4848.0
2,1,623,poor,36,2911,northwest,2817.848
1,1,543,good,8,1952,west_welmwood,1952.0
3,2,1047,good,8,4816,west_welmwood,4816.0
0,1,189,poor,63,967,northwest,883.838
1,1,323,great,4,2239,east_elmwood,2239.0
0,1,221,poor,20,1454,northwest,1454.0
3,2,1022,poor,20,4672,northwest,4672.0
1,1,539,good,10,1987,west_welmwood,1987.0
1,1,619,poor,29,1848,northwest,1814.736
2,1,742,poor,42,2971,northwest,2840.276
0,1,481,poor,45,1471,northwest,1397.45
3,2,1246,great,10,5540,east_elmwood,5540.0
1,1,530,great,1,2546,east_elmwood,2546.0
2,1,536,poor,37,2790,northwest,2695.14
3,2,1193,great,13,5424,east_elmwood,5424.0
1,1,347,good,3,1806,west_welmwood,1806.0
3,2,970,good,14,4640,west_welmwood,4640.0
3,2,1081,poor,26,4643,northwest,4587.284
3,2,885,good,4,4701,west_welmwood,4701.0
3,2,803,great,1,5129,east_elmwood,5129.0
2,1,785,poor,25,3177,northwest,3145.23
3,2,1042,poor,36,4498,northwest,4354.064
2,1,576,good,1,3173,west_welmwood,3173.0
0,1,412,poor,41,1365,northwest,1307.67
3,2,1189,good,8,4996,west_welmwood,4996.0
2,1,771,great,2,3826,east_elmwood,3826.0
2,1,847,poor,59,2876,northwest,2651.672
3,2,1114,great,9,5355,east_elmwood,5355.0
2,1,618,great,2,3746,east_elmwood,3746.0
0,1,424,good,7,1732,west_welmwood,1732.0
0,1,494,good,12,1786,west_welmwood,1786.0
3,2,1113,great,3,5447,east_elmwood,5447.0
3,2,1155,great,10,5451,east_elmwood,5451.0
0,1,123,good,0,1527,west_welmwood,1527.0
0,1,264,poor,62,1037,northwest,949.892
2,1,864,good,3,3456,west_welmwood,3456.0
1,1,440,good,3,1894,west_welmwood,1894.0
3,2,1023,poor,54,4351,northwest,4055.132
1,1,600,good,5,2020,west_welmwood,2020.0
1,1,671,good,5,2156,west_welmwood,2156.0
1,1,400,good,11,1789,west_welmwood,1789.0
3,2,813,great,4,5096,east_elmwood,5096.0
2,1,563,good,8,3096,west_welmwood,3096.0
1,1,304,good,9,1759,west_welmwood,1759.0
2,1,783,poor,26,3143,northwest,3105.284
1,1,698,poor,39,1845,northwest,1774.89
2,1,935,great,13,3903,east_elmwood,3903.0
1,1,711,good,13,2033,west_welmwood,2033.0
3,2,926,good,1,4723,west_welmwood,4723.0
3,2,901,poor,31,4471,northwest,4372.638
3,2,1002,poor,39,4485,northwest,4314.57
1,1,442,good,0,1929,west_welmwood,1929.0
0,1,483,poor,55,1337,northwest,1243.41
0,1,191,poor,51,1077,northwest,1010.226
3,2,882,poor,29,4466,northwest,4385.612
1,1,531,poor,28,1739,northwest,1711.176
1,1,495,good,4,1938,west_welmwood,1938.0
3,2,857,poor,53,4161,northwest,3886.374
1,1,561,poor,47,1543,northwest,1459.678
0,1,256,poor,21,1399,northwest,1396.202
2,1,643,good,14,3123,west_welmwood,3123.0
3,2,1112,good,14,4782,west_welmwood,4782.0
3,2,1153,good,13,4882,west_welmwood,4882.0
2,1,532,great,10,3509,east_elmwood,3509.0
2,1,519,poor,53,2588,northwest,2417.192
1,1,661,poor,61,1591,northwest,1460.538
